produk;merek;tipe;ukuran;harga
SANYO 24K40;SANYO;LCD;24;150000
Sharp AQUOS LC-24DC30M;Sharp;LCD;24;2359500
Coocaa Led 24E88;Coocaa;LED;24;999000
LG 32LH500D;LG;LED;32;2499000
Samsung UA58NU7103;Samsung;LED, Smart TV;58;8899000
Coocaa 40D3A;Coocaa;LED;40;1949000
TCL 32A3;TCL;LED, Smart TV;32;1799000
LG 43LJ500T;LG;LED;43;3485000
AKARI LE-55D88S;AKARI;LED, Smart TV;55;5199000
Polytron PLD24D810;Polytron;LED;24;1318000
Samsung UA24H4003;Samsung;LED;24;375000
LG 42LN5400;LG;LED;42;8256500
LG 32LF550A;LG;LED;32;2598000
Panasonic VIERA TH-32D306G;Panasonic;LED;32;5252700
TCL D2700;TCL;LED;50;3259000
LG 32LH510D;LG;LED;32;2550000
LG M2241A;LG;LCD;22;200000
Changhong Led29A6500;Changhong;LED;29;1505000
Samsung UA40EH5000;Samsung;LED;40;5999000
TOSHIBA REGZA 40L3750;TOSHIBA;LED;40;2920000
LG 19LS3300;LG;LED;19;1535000
Sharp AQUOS LC-40LE380X;Sharp;LED, Smart TV;40;6000000
Philips 50PUT6002S/70;Philips;LED;50;5700000
TCL D2700;TCL;LED;29;1275000
Changhong LE24B1000;Changhong;LED;24;1625000
AKARI LE-24K88ID;AKARI;LED;24;1144000
Panasonic VIERA TH-32C305G;Panasonic;LED;32;2416000
LG 65UJ652T;LG;LED, Smart TV;65;13199000
LG 40UB800T;LG;LED;40;7899000
Sharp AQUOS LC-60LE275X;Sharp;LED;60;11100000
Sony BRAVIA KD-65X9004A;Sony;LED;65;20245000
Polytron PLM32B21;Polytron;LCD;32;1990000
LG 43LF510T;LG;LED;43;4895000
Samsung UA50JS7200;Samsung;LED, Smart TV;50;9799000
TOSHIBA REGZA 32L2400;TOSHIBA;LED;32;1889000
Sony BRAVIA KDL-40R350B;Sony;LED;40;4139000
Polytron PLD22D1150;Polytron;LED;22;1299000
AKARI LE-32V99T2;AKARI;LED;32;1400000
Coocaa Led 32E60;Coocaa;LED;32;2799000
LG 49UK6300PTE;LG;LCD, Smart TV;49;5392500
TOSHIBA REGZA 43L3750;TOSHIBA;LED;43;3399000
Samsung UA49K6300;Samsung;LED, Smart TV;49;6995000
LG 29MT48AF-PT;LG;LED;29;1975000
TOSHIBA REGZA 40L5650;TOSHIBA;LED, Smart TV;40;3399000
LG 32LS3400;LG;LED;32;2150000
Samsung UA43J5100;Samsung;LED;43;4244000
AQUA LE32AQT7000T;AQUA;LED;32;2199000
Coocaa Led 32E20;Coocaa;LED;32;1899000
Sharp AQUOS LC-50UE630X;Sharp;LED, Smart TV;50;12299000
Samsung UA40MU6100;Samsung;LED, Smart TV;40;4072800
Changhong LE24818;Changhong;LED;24;999000
Coocaa 24D3A;Coocaa;LED;24;999000
TOSHIBA REGZA 50L5550;TOSHIBA;LED, Smart TV;50;8900000
Samsung UA50KU6000;Samsung;LED, Smart TV;50;7195000
Samsung UA32EH4003M;Samsung;LED;32;2950000
Polytron PLD20D302;Polytron;LED;20;1229000
LG 32LB563D;LG;LED;32;2999000
TOSHIBA REGZA 24L3750;TOSHIBA;LED;24;1249000
LG 60LF630T;LG;LED, Smart TV;60;22499000
Changhong LE32880;Changhong;LED;32;1698000
Philips 39PHA4251S;Philips;LED;39;2929000
Changhong 50E6000HFT;Changhong;LED;50;4247100
LG 43UJ652T;LG;LED, Smart TV;43;5665000
LG 55UJ632T;LG;LED, Smart TV;55;9900000
LG 32LJ550D;LG;LED, Smart TV;32;3675000
LG 98UB980T;LG;LED, Smart TV;98;275000000
LG 55UJ652T;LG;LED, Smart TV;55;9099388
Samsung UA55J5500;Samsung;LED, Smart TV;55;15489000
Samsung UA55K5500;Samsung;LED, Smart TV;55;9999000
LG 22TK420A-PT;LG;LED;22;1289000
AKARI LE-25B88;AKARI;LED;25;1239000
Changhong 40E6000HFT;Changhong;LED;40;2699000
Samsung UA75JU6400;Samsung;LED, Smart TV;75;36565000
AKARI LE-4099T2;AKARI;LED;40;2479000
LG 50UF830T;LG;LED, Smart TV;50;14500000
Samsung UA49KU6300;Samsung;LED, Smart TV;49;7265000
AKARI LE-32D88;AKARI;LED;32;1990000
Polytron PLD24D800;Polytron;LED;24;1999000
AKARI LE-32V90;AKARI;LED;32;1599000
Coocaa 50G2;Coocaa;LED, Smart TV;50;5950000
AKARI LE-50D88ID;AKARI;LED;50;4790000
Samsung UA55JS7200;Samsung;LED, Smart TV;55;15250000
AKARI SC-52V32;AKARI;LED, Smart TV;32;1789000
LG 40UF770T;LG;LED, Smart TV;40;7299000
LG 39LN5400;LG;LED;39;650000
Sharp AQUOS 4T-C60AH1X;Sharp;LED, Smart TV;60;10999000
AKARI LE-3289T2;AKARI;LED;32;1699000
LG 32LK450;LG;LCD;32;1849000
Samsung The Frame 2019 QA55LS03;Samsung;QLED, Smart TV;55;14699300
LG 43LF540T;LG;LED;43;4350000
Sharp AQUOS LC-40LE275X;Sharp;LED;40;9550000
LG 50LB582T;LG;LED, Smart TV;50;18000000
Philips 24PHA4100S/70;Philips;LED;24;1399000
Polytron PLD24T810W;Polytron;LED;24;1400000
AKARI LE-32K88;AKARI;LED;32;1888000
Samsung QA65Q8C;Samsung;QLED, Smart TV;65;32795000
TOSHIBA REGZA 24L2600;TOSHIBA;LED;24;1498000
AQUA LE40AQT8300;AQUA;LED;40;3395000
TCL D2700;TCL;LED;48;5457750
AKARI LE-32AK30;AKARI;LED;32;2150000
TOSHIBA REGZA 40L5550;TOSHIBA;LED, Smart TV;40;4999000
Samsung UA43KU6000;Samsung;LED, Smart TV;43;6299000
LG 55SJ800T;LG;LED, Smart TV;55;9199000
TOSHIBA REGZA 40L2400;TOSHIBA;LED;40;5499000
LG 42LM6200;LG;LED, Smart TV;42;8499000
LG 29MT47A;LG;LED;29;2799000
Samsung 40F5000;Samsung;LED;40;4365000
Polytron PLD22D110;Polytron;LED;22;1389000
Polytron PLD32T500;Polytron;LED;32;2269000
Samsung UA40KU6300;Samsung;LED, Smart TV;40;6145000
TCL D2700;TCL;LED;20;1320550
AKARI LE-4399T2SB;AKARI;LED;43;3149000
TOSHIBA REGZA 32L5400;TOSHIBA;LED, Smart TV;32;4950000
TOSHIBA REGZA 43L3650;TOSHIBA;LED;43;4490000
LG 42UB820T;LG;LED, Smart TV;42;8899000
Sharp AQUOS LC-60UA6800X;Sharp;LED, Smart TV;60;11000000
Samsung UA65MU8000;Samsung;LED, Smart TV;65;15495000
Changhong LE19D1000;Changhong;LED;19;1349000
Changhong LE39B2500;Changhong;LED;39;2199000
LG 43UH650T;LG;LED, Smart TV;43;5495000
LG 43UH610T;LG;LED, Smart TV;43;5550000
Samsung QA55Q7F;Samsung;QLED, Smart TV;55;14750000
LG 55UH650T;LG;LED, Smart TV;55;6999000
Samsung QA55Q8C;Samsung;QLED, Smart TV;55;18295000
TOSHIBA REGZA 32P2400VT;TOSHIBA;LED;32;3166500
LG 20LB450A;LG;LED;20;1200000
LG 43LH500T;LG;LED;43;3800000
Samsung UA40K6300;Samsung;LED, Smart TV;40;5325000
Samsung UA48J5000AK;Samsung;LED;48;6609000
Samsung QA75Q8C;Samsung;QLED, Smart TV;75;65495000
Samsung UA32H4000;Samsung;LED;32;3499000
AKARI LE-20V89;AKARI;LED;20;1080000
AKARI LE-32V99SM;AKARI;LED, Smart TV;32;1899000
Samsung UA40J5100;Samsung;LED;40;4100000
Samsung UA40H5003;Samsung;LED;40;4539999
LG 32LF20;LG;LCD;32;1949000
TOSHIBA REGZA 32L3650;TOSHIBA;LED;32;2559000
LG 55SM8600PTA;LG;LED, Smart TV;55;12495000
LG 55UB820T;LG;LED, Smart TV;55;19900000
LG 43UF690T;LG;LED, Smart TV;43;8990000
LG 55SM8100PTA;LG;LED, Smart TV;55;10895000
TOSHIBA REGZA 43L5650;TOSHIBA;LED, Smart TV;43;4278000
LG OLed55B6T;LG;OLED, Smart TV;55;22439000
Samsung UA55JU7500;Samsung;LED, Smart TV;55;8995000
AKARI LE-32P88;AKARI;LED;32;1475000
Sanken SL-E32;SANKEN;LED;32;2039000
TOSHIBA REGZA 49U7650;TOSHIBA;LED, Smart TV;49;7990000
Samsung UA32J5500;Samsung;LED, Smart TV;43;5999000
LG 60UH650T;LG;LED, Smart TV;60;18500000
TOSHIBA REGZA 40L2550;TOSHIBA;LED;40;3738000
Samsung UA22H5003;Samsung;LED;22;2000000
LG 43LH570T;LG;LED, Smart TV;43;4798000
LG 65SM8100PTA;LG;LED, Smart TV;65;15899000
LG 39LB561T;LG;LED;39;4999000
Sharp AQUOS LC-58UE1M;Sharp;LED, Smart TV;58;19029000
Sony BRAVIA KD-55X9004A;Sony;LED;55;22299000
AKARI LE-43D99SBS;AKARI;LED;43;3549000
AQUA LE24AQT6500T;AQUA;LED;24;1499000
LG 49LF550T;LG;LED;49;7500000
AQUA LE32AQT9000;AQUA;LED;32;2450000
Samsung UA48J6300;Samsung;LED, Smart TV;48;9990000
LG 49UF850T;LG;LED, Smart TV;49;15000000
LG 55EG910T;LG;OLED, Smart TV;55;13499000
LG 65UH615T;LG;LED, Smart TV;65;16999000
Samsung UA32D4003;Samsung;LED;32;2150000
LG 49UH610T;LG;LED, Smart TV;49;6500000
LG 42LB582T;LG;LED, Smart TV;42;7499900
LG 24LF450A;LG;LED;24;1650000
Samsung 32F5500;Samsung;LED;32;5200000
Sony BRAVIA KD-65A8F;Sony;OLED, Smart TV;65;38000000
TOSHIBA REGZA 40L3650;TOSHIBA;LED;40;4080000
TOSHIBA REGZA 49L3750;TOSHIBA;LED;49;5040000
LG 42UB700T;LG;LED, Smart TV;42;9990000
Samsung QA65Q9F;Samsung;QLED, Smart TV;65;32499000
AKARI SC-52V40;AKARI;LED, Smart TV;40;2800000
LG 43UF640T;LG;LED, Smart TV;43;7399000
Samsung UA48JU6000;Samsung;LED, Smart TV;48;10599000
Samsung UA60J6200;Samsung;LED, Smart TV;60;16129000
Samsung UA65JS9000;Samsung;LED, Smart TV;65;35300000
Samsung UA40J6300;Samsung;LED, Smart TV;40;9107000
LG 55UH615T;LG;LED, Smart TV;55;9974050
Changhong LE19868;Changhong;LED;19;1250000
LG 24LB452A;LG;LED;24;1960000
Philips 40PFA4160S/98;Philips;LED;40;5249000
TOSHIBA REGZA 49L5650;TOSHIBA;LED, Smart TV;49;5447200
LG 43UF770T;LG;LED, Smart TV;43;10799000
LG 49LH511T;LG;LED;49;6225000
TOSHIBA REGZA 40L5400;TOSHIBA;LED, Smart TV;40;6960000
LG 55UB850T;LG;LED, Smart TV;55;17899000
AKARI LE-50D99SBS;AKARI;LED;50;3999000
LG 55UH600T;LG;LED, Smart TV;55;8199028
TOSHIBA REGZA 55L5550;TOSHIBA;LED, Smart TV;55;9999000
AKARI SC-52V43;AKARI;LED, Smart TV;43;3250000
TOSHIBA REGZA 32L2550;TOSHIBA;LED;32;3809000
TOSHIBA REGZA 50L2550;TOSHIBA;LED;50;8250000
TOSHIBA REGZA 43U7650;TOSHIBA;LED, Smart TV;43;5818000
Samsung UA48H5100;Samsung;LED;48;5925000
Samsung UA40JU6600;Samsung;LED, Smart TV;40;9435000
TOSHIBA REGZA 40L1600;TOSHIBA;LED;40;4195000
TOSHIBA REGZA 43U7750;TOSHIBA;LED, Smart TV;43;6495000
LG 49LF630T;LG;LED, Smart TV;49;9880000
Samsung QA65Q70R;Samsung;QLED, Smart TV;65;21500000
Samsung UA55MU8000;Samsung;LED, Smart TV;55;11999000
Samsung UA55JU6400;Samsung;LED, Smart TV;55;23000000
LG 55UF850T;LG;LED, Smart TV;55;25398844
Samsung UA32J5100;Samsung;LED;32;4500000
LG 49LH570T;LG;LED, Smart TV;49;6850000
LG 65SM8600PTA;LG;LED, Smart TV;65;17900000
LG 84UB980T;LG;LED, Smart TV;84;119000000
LG 49LH540T;LG;LED, Smart TV;49;10499000
Samsung UA55KU6500;Samsung;LED;55;12985000
Samsung UA55JU6000;Samsung;LED, Smart TV;55;13109000
Samsung UA48JU7500;Samsung;LED, Smart TV;48;19900000
Samsung QA75Q9F;Samsung;QLED, Smart TV;75;54495000
Samsung UA49MU8000;Samsung;LED, Smart TV;49;10900000
Sony BRAVIA KD-55A8F;Sony;OLED, Smart TV;55;23625000
LG OLed65E6T;LG;OLED, Smart TV;65;45690000
AKARI LE-5099T2SB;AKARI;LED;50;3999000
Sharp AQUOS LC-70XU830X;Sharp;LED;70;133999000
LG 32LF595D;LG;LED, Smart TV;32;5299000
Mito 3255;Mito;LED;32;1395000
LG 32LM550BPTA;LG;LED;32;1898000
Samsung 40F6100;Samsung;LED;40;5500000
TOSHIBA REGZA 50L4300VT;TOSHIBA;LED, Smart TV;50;15000000
LG 75UK6500PTB;LG;LED, Smart TV;75;19999000
LG 65SJ850T;LG;LED, Smart TV;65;22400000
Samsung LA32B530;Samsung;LCD;32;2699000
Samsung UA40KU6000;Samsung;LED, Smart TV;40;5899000
TOSHIBA REGZA 47L2400;TOSHIBA;LED;47;8000000
LG 49SJ800T;LG;LED, Smart TV;49;10290000
LG 55EA970T;LG;OLED, Smart TV;55;25990000
Samsung UA65JU6600;Samsung;LED, Smart TV;65;37222501
LG 49UH650T;LG;LED, Smart TV;49;9000000
LG 60UH770T;LG;LED, Smart TV;60;9788000
LG 55UH850T;LG;LED, Smart TV;55;14995000
TOSHIBA REGZA 55L5400;TOSHIBA;LED, Smart TV;55;16999000
Panasonic VIERA TH-49EX600G;Panasonic;LED, Smart TV;49;10089000
Samsung UA55JS9000;Samsung;LED, Smart TV;55;29999000
LG 65UB950T;LG;LED, Smart TV;65;34990000
LG 86UH955T;LG;LED, Smart TV;86;127500000
Samsung QA55Q70R;Samsung;QLED, Smart TV;55;17500000
LG 43UF680T;LG;LED, Smart TV;43;5499000
LG 65LF630T;LG;LED, Smart TV;65;16300000
LG 43UK6500PTC;LG;LED;43;4950000
TOSHIBA REGZA 43L1600;TOSHIBA;LED;43;4995000
Samsung UA55ES6220;Samsung;LED;55;12696000
Samsung UA49M6300;Samsung;LED, Smart TV;49;8729000
LG 55SJ850T;LG;LED, Smart TV;55;12488000
LG OLed65B6T;LG;OLED, Smart TV;65;42000000
LG 49LB620T;LG;LED;49;11999000
TOSHIBA REGZA 24L3650;TOSHIBA;LED;24;2075750
Samsung UA65JU7500;Samsung;LED, Smart TV;65;15425000
Changhong L32H4;Changhong;LED, Smart TV;32;1729000
AKARI LE-29V89;AKARI;LED;29;1758000
LG 29MT45;LG;LED;29;1990000
Samsung UA32K4100;Samsung;LED;32;2619000
AKARI LE-65D88;AKARI;LED;65;9998000
LG 65UH650T;LG;LED, Smart TV;65;17995000
LG 55UB950T;LG;LED;55;20999000
Changhong U50H7;Changhong;LED, Smart TV;50;2300000
LG 65UB930T;LG;LED, Smart TV;65;32990000
Changhong L32H7;Changhong;LED, Smart TV;32;2099000
LG 55UH770T;LG;LED, Smart TV;55;13200000
LG 86UK6500PTB;LG;LED, Smart TV;86;58000000
AKARI LE-29P57ID;AKARI;LED;29;1675000
TOSHIBA REGZA 23S2400;TOSHIBA;LED;23;2599000
Changhong L24G3;Changhong;LED;24;999000
